Instance,Category
Surgical_repair,InvasiveTreatment
Medical_management,NonInvasiveTreatment
Echocardiogram,ByDoctor
Electrocardiogram,ByDoctor
Chest_X-ray,ByDoctor
Physical_exam,ByDoctor
Genetic_testing,ByDoctor
Cardiac_CT_scan,ByDoctor
Cardiac_MRI,ByDoctor
Holter_monitor,ByDoctor
Event_monitor,ByDoctor
Stress_test,ByDoctor
Echocardiogram,ByMyself
Pulse_oximetry,ByMyself
Self_reported_symptoms,ByMyself
,
Related,HasSymptom
Abnormalities_of_AV_valves_and_AV_septal_defect,Shortness_of_breath
Abnormalities_of_AV_valves_and_AV_septal_defect,Fatigue
Abnormalities_of_AV_valves_and_AV_septal_defect,Swelling_in_the_legs
Abnormalities_of_atriums_and_atrial_septum,Palpitations
Abnormalities_of_atriums_and_atrial_septum,Chest_pain
Abnormalities_of_atriums_and_atrial_septum,Fainting
Abnormalities_of_coronary_arteries_and_arterial_duct_and_pericardium,Chest_pain
Abnormalities_of_coronary_arteries_and_arterial_duct_and_pericardium,Shortness_of_breath
Abnormalities_of_coronary_arteries_and_arterial_duct_and_pericardium,Swelling_in_the_legs
Abnormalities_of_great_veins,Cyanosis
Abnormalities_of_great_veins,Swelling_in_the_legs
Abnormalities_of_great_veins,Fatigue
Abnormalities_of_position_and_connection_of_heart,Chest_pain
Abnormalities_of_position_and_connection_of_heart,Fainting
Abnormalities_of_position_and_connection_of_heart,Palpitations
Abnormalities_of_ventricles_and_ventricular_septum,Shortness_of_breath
Abnormalities_of_ventricles_and_ventricular_septum,Chest_pain
Abnormalities_of_ventricles_and_ventricular_septum,Fainting
Diagnostic_congenital_and_generic_cardiac_codes,Shortness_of_breath
Diagnostic_congenital_and_generic_cardiac_codes,Chest_pain
Diagnostic_congenital_and_generic_cardiac_codes,Palpitations
,
Related,Treatment
Tetralogy_of_Fallot,Surgical_repair
Tetralogy_of_Fallot,Medical_management
,
Related,DiagnosisMethod
Tetralogy_of_Fallot,Cardiac_catheterization
Tetralogy_of_Fallot,Magnetic_resonance_imaging
Tetralogy_of_Fallot,Electrocardiogram
Tetralogy_of_Fallot,Chest_X-ray
Tetralogy_of_Fallot,Physical_exam
